Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 00:00:00,26.9,26.9,26.9,,29.4,0,0,0,5.7,4,,10,48.2,78.65,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 01:00:00,25.6,25.6,25.6,,,0,0,0,3.4,17,,10,19.5,79.49,Clear
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 02:00:00,26,26,26,,,0,0,0,5.4,,,10,27.8,78.64,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 03:00:00,25.3,25.3,25.3,,,0,0,0,4.7,155,,10,33,80.17,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 04:00:00,25,25,25,,,0,0,0,3.6,,,10,39.2,83.45,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 05:00:00,25,25,25,,,0,0,0,7.6,150,,10,50,78.5,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 06:00:00,24.3,24.3,24.3,,,0,0,0,3.7,214,,11.8,44.6,81.33,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 07:00:00,25,25,25,,,0,0,0,5.4,,,8,27.8,78.5,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 08:00:00,26,26,26,,,0,0,0,7.6,160,,9,50,78.64,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 09:00:00,28.6,28.6,28.6,,31.6,0,0,0,5.4,272,,10,51.5,67.58,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 10:00:00,29,29,29,,32.8,0,0,0,11.2,300,,10,39.2,70.11,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 11:00:00,30,30,30,,33.3,0,0,0,13,280,,10,50,62.28,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 12:00:00,30.9,30.9,30.9,,34.4,0,0,0,13.8,291,,10,33,59,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 13:00:00,31,31,31,,35.5,0,0,0,18.4,290,,10,27.8,62.5,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 14:00:00,31,31,31,,34.6,0,0,0,20.5,290,,10,27.8,58.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 15:00:00,30.9,30.9,30.9,,34.2,0,0,0,21.2,305,,10,28.4,57.94,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 16:00:00,31,31,31,,33,0,0,0,22.3,320,,10,27.8,52.01,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 17:00:00,31,31,31,,33,0,0,0,27.7,320,,10,27.8,52.01,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 18:00:00,30,30,30,,31.8,0,0,0,22.1,329,,10,19.1,54.22,Clear
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 19:00:00,30,30,30,,31.3,0,0,0,20.5,350,,10,0,51.76,Clear
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 20:00:00,29,29,29,,30.8,0,0,0,13,330,,10,0,58.35,Clear
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 21:00:00,27.9,27.9,27.9,,29.1,0,0,0,12.9,349,,10,0,58.88,Clear
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 22:00:00,28,28,28,,29.7,0,0,0,7.6,30,,10,0,61.84,Clear
"תל אביב - יפו, תל אביב, ישראל",07/01/2019 23:00:00,27,27,27,,28.2,0,0,0,3.6,,,10,0,61.62,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 00:00:00,25.4,25.4,25.4,,,0,0,0,3.8,8,,10,0,62.8,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 01:00:00,25,25,25,,,0,0,0,3.6,,,10,0,65.15,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 02:00:00,25,25,25,,,0,0,0,7.6,110,,10,0,69.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 03:00:00,23,23,23,,,0,0,0,5.9,113,,10,0,71.46,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 04:00:00,23,23,23,,,0,0,0,1.8,,,10,0,73.46,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 05:00:00,23,23,23,,,0,0,0,7.6,140,,10,0,68.97,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 06:00:00,21.7,21.7,21.7,,,0,0,0,7.4,142,,10,0,73.75,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 07:00:00,25,25,25,,,0,0,0,7.6,140,,10,0,57.39,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 08:00:00,27,27,27,,27.7,0,0,0,5.4,,,10,0,54.34,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 09:00:00,28.3,28.3,28.3,,29.1,0,0,0,5.4,301,,12.4,0,52.19,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 10:00:00,29,29,29,,29.5,0,0,0,7.6,280,,10,0,48.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 11:00:00,30,30,30,,30.8,0,0,0,9.4,280,,10,0,48.62,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 12:00:00,30.9,30.9,30.9,,31.2,0,0,0,14.6,300,,12.4,0,43.23,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 13:00:00,31,31,31,,31.9,0,0,0,20.5,290,,10,27.8,45.91,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 14:00:00,32,32,32,,32,0,0,0,20.5,290,,10,27.8,38.22,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 15:00:00,31.1,31.1,31.1,,31.8,0,0,0,16.6,306,,12.4,19.1,44.8,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 16:00:00,31,31,31,,30.6,0,0,0,14.8,330,,10,0,37.94,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 17:00:00,31,31,31,,31,0,0,0,22.3,320,,10,0,40.45,Clear
